nct_id,brief_title,phase,phase_simple,overall_status,enrollment,lead_sponsor,company,sponsor_scale,is_industry,is_big_pharma,arm_structure,n_arms,comparator_B,experimental_A,targets,modalities,biomarkers_pipeline,tme_relevant,is_combination,HER2,CLDN18.2,MSI-H/dMMR,PD-L1_CPS,EBV,first_line,later_line,biomarker_selected,biomarker_detail,elig_summary
NCT03610711,REACTION (Radiation Enhanced Assessment of Combination Therapies in Immuno-ONcology) - Nivolumab or Nivolumab in Combination With Other Immuno-oncology (IO) Agents After Targeted Systemic Radiation in Patients With Advanced Esophagogastric Cancer,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,21,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,160,0,1,multi_experimental,2,nivolumab,nivolumab;relatlimab,PD-1,Monoclonal Antibody,CD30;PR;biomarker,1,1,0,0,0,0,0,1,0,0,,metastatic · 1st-line · adenoca.
NCT03653507,"A Study of Zolbetuximab (IMAB362) Plus CAPOX Compared With Placebo Plus CAPOX as First-line Treatment of Subjects With Claudin (CLDN) 18.2-positive, HER2-negative, Locally Advanced Unresectable or Metastatic Gastric or Gastroesophageal Junction (GEJ) Adenocarcinoma (GLOW).",PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,507,"Astellas Pharma Global Development, Inc.",Astellas,171,1,1,placebo_comparator,2,capecitabine;oxaliplatin,capecitabine;oxaliplatin;zolbetuximab,CLDN18.2,Monoclonal Antibody,CLDN18.2;HER2;PD-L1,1,1,1,1,0,0,0,0,0,1,"HER2−, CLDN18.2+",metastatic · adenoca. · measurable (RECIST)
NCT03872947,A Study of TRK-950 in Combinations With Anti-Cancer Treatment Regimens in Patients With Advanced Solid Tumors,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,138,"Toray Industries, Inc",Toray Industries,4,1,0,multi_experimental,15,trk-950,bevacizumab;carboplatin;cisplatin;fluorouracil;gemcitabine;imiquimod cream;irinotecan;leucovorin;nivolumab;paclitaxel;pembrolizumab;pld;ramucirumab;trk-950,PD-1,Monoclonal Antibody,CAPRIN-1;PR,1,1,0,0,0,0,0,0,1,0,,metastatic · 2nd-line+ · adenoca. · measurable (RECIST)
NCT03983954,"Naptumomab Estafenatox in Combination With Durvalumab in Subjects With Selected Advanced or Metastatic Solid Tumor, Including a Cohort Expansion in Esophageal Cancer.",PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,120,NeoTX Therapeutics Ltd.,NeoTX Therapeutics,2,1,1,multi_experimental,11,naptumomab estafenatox and durvalumab,naptumomab estafenatox and durvalumab;obinutuzumab,5T4,Monoclonal Antibody,CD20;ER;HER2;PD-L1;biomarker;biomarker analysis,1,1,1,0,0,1,0,1,0,1,"HER2+, PD-L1+",metastatic · 1st-line · adenoca. · measurable (RECIST)
NCT04021108,Phase II Study of Short Course FOLFOX Chemotherapy With Either Nivolumab or Nivolumab + Radiation in the First Line Treatment of Metastatic or Unresectable Gastroesophageal Cancers (BMS Protocol CA209-76L),PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,80,Weill Medical College of Cornell University,Weill Medical College of Cornell University,90,0,1,multi_experimental,2,nivolumab,nivolumab,PD-1,Monoclonal Antibody,CD30;HER2;PD-L1,1,1,1,0,0,1,0,0,0,1,"HER2+, PD-L1+",metastatic · adenoca.
NCT04044859,ADP-A2M4CD8 as Monotherapy or in Combination With Either Nivolumab or Pembrolizumab in HLA-A2+ Subjects With MAGE-A4 Positive Tumors (SURPASS),PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,120,"USWM CT, LLC",USWM CT,8,1,0,single_arm,1,autologous genetically modified adp-a2m4cd8 cells alone or in combination with nivolumab every four weeks or pembrolizumab every 6 weeks,autologous genetically modified adp-a2m4cd8 cells alone or in combination with nivolumab every four weeks or pembrolizumab every 6 weeks,MAGE-A4,Cell Therapy,HLA-A2;MAGE-A4,1,1,0,0,0,0,0,0,0,0,,metastatic · small-cell · measurable (RECIST)
NCT04069273,Novel SEQUEnced Immunotherapy With Anti-angiogenesis and Chemotherapy in Advanced gastroesophageaL Adenocarcinoma,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,58,Harry H Yoon,Harry H Yoon,1,0,1,multi_experimental,2,paclitaxel;pembrolizumab monotherapy;ramucirumab,paclitaxel;pembrolizumab monotherapy;ramucirumab,VEGF/VEGFR,Monoclonal Antibody,BRAF;KRAS;MSI-H;PD-L1;PR,1,1,0,0,0,1,0,0,0,1,PD-L1+,metastatic · adenoca. · measurable (RECIST) · ECOG 0-1
NCT04140526,"Safety, PK and Efficacy of ONC-392 in Monotherapy and in Combination of Anti-PD-1 in Advanced Solid Tumors and NSCLC",PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,733,"OncoC4, Inc.",OncoC4,10,1,0,multi_experimental,3,onc-392,docetaxel;onc-392;pembrolizumab,PD-1,Monoclonal Antibody,PD-L1,1,1,0,0,0,0,0,0,0,0,,metastatic · small-cell · measurable (RECIST)
NCT04152499,"Phase I-II, FIH, TROP2 ADC, Advanced Unresectable/Metastatic Solid Tumors, Refractory to Standard Therapies (KL264-01)",PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,1410,Klus Pharma Inc.,Klus Pharma,4,1,0,multi_experimental,11,skb264,skb264,TROP2,ADC,ER;HER2;PR;TROP2,1,1,1,0,0,0,0,0,1,1,HER2+,metastatic · 2nd-line+ · adenoca. · measurable (RECIST)
NCT04180371,Study BT5528-100 in Patients With Advanced Solid Tumors Associated With EphA2 Expression,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,288,BicycleTx Limited,BicycleTx,8,1,0,multi_experimental,3,bt5528,bt5528;nivolumab,EphA2,Monoclonal Antibody,EPHA2;biomarker,1,1,0,0,0,0,0,0,0,0,,metastatic · squamous · measurable (RECIST)
NCT04198766,Study of INBRX-106 and INBRX-106 in Combination With Pembrolizumab (Keytruda®) in Subjects With Locally Advanced or Metastatic Solid Tumors (Hexavalent OX40 Agonist),PHASE1;PHASE2,Phase 2,RECRUITING,340,"Inhibrx Biosciences, Inc",Inhibrx Biosciences,4,1,1,active_comparator,15,inbrx-106 - hexavalent ox40 agonist antibody,carboplatin auc-5;carboplatin auc-6;cisplatin;gemcitabine (;inbrx-106 - hexavalent ox40 agonist antibody;nab-paclitaxel;paclitaxel;pembrolizumab;pemetrexed,OX40,Monoclonal Antibody,ALK;EGFR;MSI;MSI-H;PD-L1;TMB,1,1,0,0,0,1,0,1,1,1,PD-L1+,metastatic · 1st-line · squamous
NCT04282044,Study of CRX100 as Monotherapy and in Combination With Pembrolizumab in Patients With Advanced Solid Malignancies,PHASE1,Phase 1,RECRUITING,60,BioEclipse Therapeutics,BioEclipse Therapeutics,1,1,0,multi_experimental,2,crx100 suspension for infusion;cyclophosphamide;fludarabine,crx100 suspension for infusion;cyclophosphamide;fludarabine,PD-1,,ER;HER2;PR,0,1,1,0,0,0,0,0,1,1,HER2−,metastatic · 2nd-line+ · adenoca. · measurable (RECIST)
NCT04342910,Study to Evaluate the Efficacy and Safety of Camrelizumab and Apatinib in Patients With GC/GEJC,PHASE3,Phase 3,RECRUITING,550,"Jiangsu HengRui Medicine Co., Ltd.",Hengrui,312,1,0,active_comparator,2,irinotecan;paclitaxel,apatinib mesylate;camrelizumab,PD-1,Monoclonal Antibody,HER2;PD-L1;biomarker;biomarker analysis,1,1,1,0,0,1,0,1,0,1,"HER2+, PD-L1+",metastatic · 1st-line · adenoca.
NCT04379596,Ph1b/2 Study of the Safety and Efficacy of T-DXd Combinations in Advanced HER2-expressing Gastric Cancer (DESTINY-Gastric03),PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,452,AstraZeneca,AstraZeneca,780,1,1,active_comparator,18,capecitabine;cisplatin;fluorouracil (5-fu);oxaliplatin;trastuzumab,capecitabine;durvalumab;fluorouracil (5-fu);oxaliplatin;pembrolizumab;rilvegostomig;trastuzumab deruxtecan;volrustomig,PD-L1,Monoclonal Antibody,EGFR;HER2,1,1,1,0,0,0,0,1,0,1,HER2+,metastatic · 1st-line · adenoca. · measurable (RECIST)
NCT04389632,A Study of Sigvotatug Vedotin in Advanced Solid Tumors,PHASE1,Phase 1,RECRUITING,1006,"Seagen, a wholly owned subsidiary of Pfizer",Pfizer,687,1,1,multi_experimental,5,sigvotatug vedotin,carboplatin;cisplatin;pembrolizumab;sigvotatug vedotin,PD-1,Monoclonal Antibody,HER2;PD-L1,1,1,1,0,0,0,0,1,1,1,HER2−,metastatic · 1st-line · adenoca. · measurable (RECIST)
NCT04396821,A Trial to Evaluate Safety and Tolerability of TST001 in Advanced or Metastatic Solid Tumors,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,150,"Transcenta Therapeutics (Hangzhou) Co., Ltd.",Transcenta Therapeutics (Hangzhou),8,1,1,multi_experimental,5,tst001,FOLFOX;albumin-bound paclitaxel;gemcitabine;nivolumab injection [opdivo];tst001,PD-1,Monoclonal Antibody,CLDN18.2,1,1,0,1,0,0,0,1,0,1,CLDN18.2+,metastatic · 1st-line · adenoca. · ECOG 0-1
NCT04404595,"Claudin18.2 CAR-T (CT041) in Patients With Gastric, Pancreatic Cancer, or Other Specified Digestive Cancers",PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,110,"CARsgen Therapeutics Co., Ltd.",CARsgen Therapeutics,11,1,0,single_arm,1,ct041,ct041,CLDN18.2,CAR-T,CLDN18.2,1,1,0,1,0,0,0,1,0,1,CLDN18.2+,metastatic · 1st-line · adenoca. · measurable (RECIST)
NCT04421820,BOLD-100 in Combination With FOLFOX for the Treatment of Advanced Solid Tumours,PHASE1;PHASE2,Phase 2,RECRUITING,220,"Bold Therapeutics, Inc.",Bold Therapeutics,1,1,0,active_comparator,9,bold-100 +/- folfox chemotherapy (arm vii),bold-100 in combination with folfox chemotherapy (arms i-vi),,Small Molecule,BRAF;ER;HER2;MSI;MSI-H,0,1,1,0,1,0,0,0,0,1,"HER2+, MSI-H/dMMR",metastatic · measurable (RECIST)
NCT04430738,Tucatinib Plus Trastuzumab and Oxaliplatin-based Chemotherapy or Pembrolizumab-containing Combinations for HER2+ Gastrointestinal Cancers,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,40,"Seagen, a wholly owned subsidiary of Pfizer",Pfizer,687,1,1,multi_experimental,9,trastuzumab;tucatinib,capecitabine;fluorouracil;leucovorin;oxaliplatin;pembrolizumab;trastuzumab;tucatinib,HER2,Small Molecule,HER2;MET;PD-L1,0,1,1,0,0,1,0,0,0,1,"HER2+, PD-L1+",metastatic · adenoca. · measurable (RECIST)
NCT04492488,A Study of MRG002 in Patients with HER2-Positive Advanced Solid Tumors and Locally Advanced or Metastatic Gastric/Gastroesophageal Junction (GEJ) Cancer,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,129,Shanghai Miracogen Inc.,Shanghai Miracogen,12,1,0,multi_experimental,2,mrg002,mrg002,HER2,ADC,HER2,1,1,1,0,0,0,0,0,0,1,HER2+,metastatic · measurable (RECIST)
NCT04511039,Trifluridine/Tipiracil and Talazoparib for the Treatment of Patients With Locally Advanced or Metastatic Colorectal or Gastroesophageal Cancer,PHASE1,Phase 1,RECRUITING,45,Roswell Park Cancer Institute,Roswell Park Cancer Institute,73,0,1,single_arm,1,talazoparib tosylate;trifluridine/tipiracil,talazoparib tosylate;trifluridine/tipiracil,TS,Small Molecule,,0,1,0,0,0,0,0,0,1,0,,metastatic · 2nd-line+ · adenoca. · measurable (RECIST)
NCT04511871,A Phase I Trial of CCT303-406 in Patients With Relapsed or Refractory HER2 Positive Solid Tumors,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,12,"Shanghai PerHum Therapeutics Co., Ltd.",Shanghai PerHum Therapeutics,4,1,0,single_arm,1,cct303-406,cct303-406,HER2,CAR-T,HER2,1,1,1,0,0,0,0,0,1,1,HER2+,metastatic · 2nd-line+ · squamous · measurable (RECIST)
NCT04581473,"Study to Evaluate the Efficacy, Safety and Pharmacokinetics of CT041 Autologous CAR T-cell Injection",PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,192,"CARsgen Therapeutics Co., Ltd.",CARsgen Therapeutics,11,1,0,active_comparator,2,physician's choice（paclitaxel or irinotecan or apatinib or anti-pd-1 antibody）,ct041 autologous car t-cell injection,CLDN18.2,CAR-T,CD19;CLDN18.2;HER2;MET,1,1,1,1,0,0,1,0,0,1,"HER2−, CLDN18.2+, EBV+",metastatic · adenoca. · measurable (RECIST)
NCT04644068,Study of AZD5305 as Monotherapy and in Combination With Anti-cancer Agents in Patients With Advanced Solid Malignancies,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,702,AstraZeneca,AstraZeneca,780,1,1,multi_experimental,6,azd5305,azd5305;camizestrant;carboplatin;dato-dxd;paclitaxel;t- dxd,PARP,Small Molecule,,0,1,0,0,0,0,0,0,1,0,,metastatic · 2nd-line+ · ECOG 0
NCT04656041,Folfox+Irinotecan+Chemort In Esophageal Cancer,PHASE2,Phase 2,RECRUITING,40,Massachusetts General Hospital,Massachusetts General Hospital,170,0,0,single_arm,1,carboplatin;folfox/ nal-iri;paclitaxel;proton radiation therapy,carboplatin;folfox/ nal-iri;paclitaxel;proton radiation therapy,,,,0,1,0,0,0,0,0,0,0,0,,metastatic · squamous
NCT04704934,Trastuzumab Deruxtecan for Subjects With HER2-Positive Gastric Cancer or Gastro-Esophageal Junction Adenocarcinoma After Progression on or After a Trastuzumab-Containing Regimen (DESTINY-Gastric04),PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,490,Daiichi Sankyo,Daiichi Sankyo,178,1,1,active_comparator,2,paclitaxel;ramucirumab,trastuzumab deruxtecan,VEGF/VEGFR,Monoclonal Antibody,BRAF;HER2;KRAS;MSI-H,1,1,1,0,0,0,0,1,1,1,HER2+,metastatic · 1st-line · adenoca.
NCT04725994,"Study to Assess the Safety, Tolerability, and Efficacy of IDX-1197 in Combination With XELOX or Irinotecan in Patients With Advanced Gastric Cancer",PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,87,"Idience Co., Ltd.",Idience,3,1,0,multi_experimental,2,,,PARP,Small Molecule,ATM;ATR;BARD1;BRCA1;BRCA2;CHEK2;HRD,0,0,0,0,0,0,0,1,0,0,,metastatic · 1st-line · measurable (RECIST)
NCT04745988,"An Open Label Phase 2 Study to Evaluate the Safety and Efficacy of Lenvatinib With Pembrolizumab or Lenvatinib, Pembrolizumab and FLOT in the Neoadjuvant / Adjuvant Treatment for Patients With Gastric Cancer",PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,43,National Cancer Center Hospital East,National Cancer Center Hospital East,10,0,1,multi_experimental,2,lenvatinib;pembrolizumab,docetaxel;fluorouracil;lenvatinib;levofolinate;oxaliplatin;pembrolizumab,VEGF/VEGFR,Small Molecule,PD-L1,0,1,0,0,0,0,0,0,0,0,,metastatic · adenoca.
NCT04802876,Efficacy of Tislelizumab and Spartalizumab Across Multiple Cancer-types in Patients with PD1-high MRNA Expressing Tumors,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,184,SOLTI Breast Cancer Research Group,SOLTI Breast Cancer Research Group,18,0,1,multi_experimental,3,,spartalizumab;tislelizumab,PD-1,Monoclonal Antibody,BRAF,1,1,0,0,0,1,0,0,0,1,PD-L1+,metastatic · squamous · measurable (RECIST)
NCT04868877,"Phase 1/2 Study Evaluating MCLA-129, a Human Anti-EGFR, Anti-c-MET Bispecific Antibody, in Advanced NSCLC and Other Solid Tumors, Alone and in Combination",PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,194,Merus B.V.,Merus,8,1,0,multi_experimental,7,mcla-129,mcla-129;osimertinib,EGFR,Bispecific Antibody,MET,1,1,0,0,0,0,0,1,0,0,,metastatic · 1st-line · measurable (RECIST)
NCT04895709,A Study of BMS-986340 as Monotherapy and as Combination Therapy in Participants With Advanced Solid Tumors,PHASE1;PHASE2,Phase 2,RECRUITING,1109,Bristol-Myers Squibb,Bristol Myers Squibb,764,1,1,multi_experimental,9,bms-986340,bms-936558-01;bms-986340;docetaxel;pumitamig,PD-1,Monoclonal Antibody,PD-L1;biomarker;biomarker analysis,1,1,0,0,0,0,0,0,1,0,,metastatic · 2nd-line+ · measurable (RECIST)
NCT04900818,Study of TJ033721 (Givastomig) in Subjects With Advanced or Metastatic Solid Tumors,PHASE1,Phase 1,RECRUITING,330,I-Mab Biopharma US Limited,I-Mab Biopharma US,6,1,1,multi_experimental,4,tj033721 (givastomig),durvalumab;nivolumab;tj033721 (givastomig),,Bispecific Antibody,CLDN18.2;PD-L1,1,1,0,1,0,1,0,1,1,1,"CLDN18.2+, PD-L1+",metastatic · 1st-line · adenoca.
NCT04931654,A Study to Assess the Safety and Efficacy of AZD7789 in Participants With Advanced or Metastatic Solid Cancer,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,136,AstraZeneca,AstraZeneca,780,1,1,multi_experimental,6,azd7789,azd7789,PD-1,Bispecific Antibody,ALK;HER2;PD-L1;genomic,1,1,1,0,0,1,0,1,0,1,"HER2+, PD-L1+",metastatic · 1st-line · adenoca. · measurable (RECIST)
NCT04950322,A Trial of SHR1701 Plus Chemotherapy in Patients With Gastric or Gastroesophageal Cancer,PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,737,"Suzhou Suncadia Biopharmaceuticals Co., Ltd.",Suzhou Suncadia Biopharmaceuticals,86,1,0,placebo_comparator,2,placebo、capox,shr-1701、capox,MET,,HER2;MET;PD-L1,0,1,1,0,0,1,0,0,0,1,"HER2+, PD-L1+",metastatic · adenoca.
